transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00567,2026-01-14T01:33:01Z,179.03,pharmacy,DE,False,False
txn_0000001,card_00609,2026-01-29T12:00:59Z,49.67,grocery,DE,True,False
txn_0000002,card_00480,2026-01-21T00:12:53Z,41.35,atm_withdrawal,US,False,False
txn_0000003,card_00786,2026-01-04T05:12:39Z,72.74,online_retail,GB,True,False
txn_0000004,card_00292,2026-01-29T20:31:19Z,25.79,atm_withdrawal,GB,True,False
txn_0000005,card_00706,2026-01-23T21:32:14Z,146.38,utilities,AE,False,False
txn_0000006,card_00271,2026-01-26T17:09:31Z,26.15,online_retail,AE,True,False
txn_0000007,card_00486,2026-01-05T03:40:54Z,11.48,electronics,AE,False,False
txn_0000008,card_00397,2026-01-01T01:33:24Z,71.54,fuel,SG,True,False
txn_0000009,card_00118,2026-01-02T04:50:09Z,170.79,pharmacy,US,False,False
txn_0000010,card_00136,2026-01-03T04:49:21Z,22.44,online_retail,IN,False,False
txn_0000011,card_00783,2026-01-23T10:31:28Z,103.37,utilities,DE,False,True
txn_0000012,card_00677,2026-01-06T13:27:33Z,88.24,fuel,IN,False,False
txn_0000013,card_00849,2026-01-15T11:11:46Z,89.13,restaurant,AE,True,False
txn_0000014,card_00818,2026-01-26T20:27:41Z,218.1,travel,GB,True,False
txn_0000015,card_00271,2026-01-28T12:28:30Z,32.72,restaurant,IN,False,False
txn_0000016,card_00795,2026-01-25T09:41:40Z,391.59,electronics,IN,False,False
txn_0000017,card_00410,2026-01-07T08:25:14Z,23.17,electronics,US,True,False
txn_0000018,card_00564,2026-01-07T02:00:13Z,147.05,grocery,AE,True,False
txn_0000019,card_00427,2026-01-03T22:06:29Z,44.65,online_retail,US,False,False
txn_0000020,card_00395,2026-01-28T19:57:35Z,190.09,restaurant,AE,True,False
txn_0000021,card_00704,2026-01-05T22:33:51Z,4.17,restaurant,AE,True,False
txn_0000022,card_00534,2026-01-12T03:22:37Z,43.28,pharmacy,US,False,False
txn_0000023,card_00504,2026-01-21T19:05:48Z,35.91,online_retail,AE,False,False
txn_0000024,card_00478,2026-01-22T10:38:17Z,73.45,restaurant,AE,False,False
txn_0000025,card_00663,2026-01-28T01:28:30Z,49.58,online_retail,US,False,False
txn_0000026,card_00405,2026-01-02T22:29:22Z,5.08,atm_withdrawal,IN,False,False
txn_0000027,card_00717,2026-01-04T06:12:53Z,101.44,restaurant,DE,True,False
txn_0000028,card_00436,2026-01-25T02:06:33Z,12.96,restaurant,SG,False,False
txn_0000029,card_00174,2026-01-01T07:56:02Z,82.33,online_retail,US,False,False
txn_0000030,card_00185,2026-01-08T02:18:29Z,85.25,atm_withdrawal,DE,False,False
txn_0000031,card_00181,2026-01-29T08:49:32Z,2.75,pharmacy,DE,False,False
txn_0000032,card_00499,2026-01-02T01:46:30Z,21.5,electronics,GB,True,False
txn_0000033,card_00506,2026-01-13T20:29:55Z,28.02,travel,IN,True,False
txn_0000034,card_00207,2026-01-18T18:22:37Z,32.61,pharmacy,SG,False,False
txn_0000035,card_00044,2026-01-13T06:35:21Z,271.87,grocery,SG,True,False
txn_0000036,card_00714,2026-01-06T14:24:16Z,37.83,entertainment,AE,True,False
txn_0000037,card_00121,2026-01-04T02:44:13Z,48.31,atm_withdrawal,GB,True,False
txn_0000038,card_00887,2026-01-26T19:53:23Z,185.75,fuel,SG,True,False
txn_0000039,card_00032,2026-01-19T17:11:56Z,126.11,fuel,US,True,False
txn_0000040,card_00471,2026-01-03T03:23:00Z,49.93,travel,GB,True,False
txn_0000041,card_00886,2026-01-04T08:41:28Z,3.07,atm_withdrawal,GB,True,False
txn_0000042,card_00533,2026-01-21T18:27:46Z,54.16,electronics,US,True,False
txn_0000043,card_00135,2026-01-04T15:40:47Z,30.18,fuel,IN,False,False
txn_0000044,card_00242,2026-01-24T08:16:51Z,110.51,pharmacy,GB,False,False
txn_0000045,card_00014,2026-01-11T06:51:26Z,335.11,online_retail,US,False,False
txn_0000046,card_00083,2026-01-04T19:50:47Z,59.54,online_retail,SG,True,False
