transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00196,2026-01-13T02:41:02Z,9.75,entertainment,US,False,False
txn_0000001,card_00881,2026-01-23T08:09:00Z,46.32,electronics,IN,False,False
txn_0000002,card_00288,2026-01-26T07:16:28Z,17.28,utilities,GB,True,False
txn_0000003,card_00381,2026-01-23T09:23:05Z,24.28,restaurant,US,True,False
txn_0000004,card_00697,2026-01-07T19:54:40Z,41.56,restaurant,DE,True,False
txn_0000005,card_00301,2026-01-21T01:59:00Z,57.76,pharmacy,AE,True,False
txn_0000006,card_00385,2026-01-16T08:15:44Z,12.96,grocery,US,True,False
txn_0000007,card_00442,2026-01-29T05:25:30Z,56.76,travel,GB,False,False
txn_0000008,card_00231,2026-01-09T04:13:16Z,340.35,pharmacy,IN,False,False
txn_0000009,card_00616,2026-01-05T16:29:41Z,6.44,grocery,US,False,False
txn_0000010,card_00302,2026-01-16T14:12:54Z,73.34,restaurant,US,True,False
txn_0000011,card_00550,2026-01-22T09:35:21Z,188.6,grocery,AE,False,False
txn_0000012,card_00200,2026-01-10T23:28:59Z,1033.74,entertainment,GB,False,False
txn_0000013,card_00032,2026-01-11T07:32:08Z,71.72,fuel,IN,True,False
txn_0000014,card_00322,2026-01-01T04:46:27Z,303.65,entertainment,AE,False,False
txn_0000015,card_00377,2026-01-10T07:53:24Z,64.94,grocery,DE,False,False
txn_0000016,card_00122,2026-01-01T19:46:30Z,67.01,travel,US,True,False
txn_0000017,card_00206,2026-01-08T09:19:38Z,91.95,pharmacy,US,True,True
txn_0000018,card_00767,2026-01-14T16:58:47Z,25.86,pharmacy,SG,False,False
txn_0000019,card_00486,2026-01-06T17:06:50Z,6.77,utilities,US,True,False
txn_0000020,card_00154,2026-01-26T10:01:50Z,135.91,pharmacy,AE,True,False
txn_0000021,card_00382,2026-01-04T13:48:54Z,14.3,fuel,DE,False,False
txn_0000022,card_00074,2026-01-09T16:08:20Z,26.37,restaurant,US,True,False
txn_0000023,card_00326,2026-01-27T04:22:19Z,25.83,entertainment,GB,True,False
txn_0000024,card_00480,2026-01-01T08:09:00Z,207.04,fuel,SG,True,False
txn_0000025,card_00561,2026-01-30T02:11:20Z,137.94,travel,IN,True,False
txn_0000026,card_00373,2026-01-19T17:05:40Z,109.61,utilities,GB,True,False
txn_0000027,card_00495,2026-01-15T17:31:05Z,60.54,atm_withdrawal,SG,False,False
txn_0000028,card_00042,2026-01-27T21:12:05Z,58.12,travel,IN,False,False
txn_0000029,card_00571,2026-01-18T23:07:46Z,49.0,utilities,SG,False,False
txn_0000030,card_00354,2026-01-29T16:34:24Z,20.86,utilities,AE,False,False
txn_0000031,card_00072,2026-01-17T09:55:04Z,36.71,pharmacy,DE,True,False
txn_0000032,card_00252,2026-01-13T09:58:24Z,103.13,grocery,GB,True,False
txn_0000033,card_00015,2026-01-18T23:26:26Z,67.29,atm_withdrawal,AE,True,False
txn_0000034,card_00542,2026-01-18T12:19:05Z,27.75,restaurant,GB,False,False
txn_0000035,card_00128,2026-01-13T12:54:45Z,87.38,entertainment,IN,True,False
txn_0000036,card_00150,2026-01-07T11:50:26Z,43.39,restaurant,US,False,False
txn_0000037,card_00085,2026-01-29T04:45:21Z,85.4,atm_withdrawal,GB,False,False
txn_0000038,card_00150,2026-01-21T05:41:37Z,100.07,entertainment,SG,True,False
txn_0000039,card_00037,2026-01-23T07:08:32Z,3.8,restaurant,SG,True,False
txn_0000040,card_00501,2026-01-08T21:52:50Z,33.49,electronics,DE,False,False
txn_0000041,card_00785,2026-01-13T00:36:27Z,88.31,travel,GB,True,False
txn_0000042,card_00490,2026-01-07T15:26:55Z,17.84,atm_withdrawal,SG,True,False
txn_0000043,card_00063,2026-01-26T14:28:30Z,18.59,entertainment,DE,False,False
txn_0000044,card_00828,2026-01-18T23:06:06Z,40.98,grocery,GB,False,False
txn_0000045,card_00703,2026-01-25T23:33:15Z,36.37,pharmacy,IN,True,False
txn_0000046,card_00659,2026-01-11T23:46:59Z,30.88,utilities,GB,True,False
txn_0000047,card_00178,2026-01-28T01:04:24Z,5.71,entertainment,US,True,False
txn_0000048,card_00658,2026-01-07T22:59:02Z,114.89,grocery,SG,False,False
txn_0000049,card_00895,2026-01-13T15:45:00Z,246.73,restaurant,DE,True,False
